id,bucket,file_origine,data_documento,fornitore,descrizione,categoria_db,categoria_runtime,prezzo_unitario,totale_riga,quantita,tipo_documento,needs_review
114763,storno,IT016417907022026F_01wY8.xml,2026-02-12,VAV SRL,SCONTO MERCE,MATERIALE DI CONSUMO,MATERIALE DI CONSUMO,-39.0,-39.0,1.0,TD01,False
114766,storno,IT016417907022026F_01wY8.xml,2026-02-12,VAV SRL,SCONTO MERCE,MATERIALE DI CONSUMO,MATERIALE DI CONSUMO,-66.0,-66.0,1.0,TD01,False
114768,storno,IT016417907022026F_01wY8.xml,2026-02-12,VAV SRL,SCONTO MERCE,MATERIALE DI CONSUMO,MATERIALE DI CONSUMO,-26.0,-26.0,1.0,TD01,False
117498,sconto_omaggio,SM03473_FuD4b.xml.p7m,2026-03-20,RECOMA SYSTEM SRL,USCITA TECNICA EFFETTUATA SU VS SISTEMA,SERVIZI E CONSULENZE,SERVIZI E CONSULENZE,0.0,0.0,1.0,TD24,True
115179,sconto_omaggio,IT06967160968_0633B.xml,2026-02-20,ASIANTRADE SRL,BEVANDA ANALC. ALLE ERBE JDB 24*310ML OMAGGIO,BEVANDE,BEVANDE,13.0,0.0,1.0,TD01,False
115283,storno,IT07102210965_03SLG.xml,2026-02-12,H.D. ITALIA S.R.L,GAMBERI ROSSO MEDITERRANO 6X1KG 3 III,PESCE,PESCE,-36.0,-288.0,8.0,TD04,False
115361,dicitura,IT08973230967_ElIGP.xml,2026-02-25,"AMAZON EU S.A R.L., SUCCURSALE ITALIANA",COSTI DI SPEDIZIONE,📝 NOTE E DICITURE,📝 NOTE E DICITURE,0.0,0.0,1.0,TD01,True
115359,dicitura,IT08973230967_EhbCJ.xml,2026-02-19,ILBE S.R.L,COSTI DI SPEDIZIONE,📝 NOTE E DICITURE,📝 NOTE E DICITURE,0.0,0.0,1.0,TD01,True
115427,storno,IT09167810960_HY54V.xml.p7m,2026-02-11,SHIDU INTERNATIONAL SRL,KOREAN CORNDOG 400G/12,CARNE,CARNE,-7.22,-86.64,12.0,TD04,False
115450,sconto_omaggio,IT10077640968_Hvcqk.xml,2026-01-30,BRESCIANINI E CO.SRL,TOPMATIC HYDRO IT TANICA GRANDE KG.25 UN 1824,MATERIALE DI CONSUMO,MATERIALE DI CONSUMO,0.0,0.0,1.0,TD24,True
115452,sconto_omaggio,IT10077640968_Hvcqk.xml,2026-01-30,BRESCIANINI E CO.SRL,TOPRINSE JET LT.5,MATERIALE DI CONSUMO,MATERIALE DI CONSUMO,0.0,0.0,1.0,TD24,True
